id,label,type,canonical_id,domain,description
AS_2nd_8th_axis,AS_2nd_8th_axis,astro_concept,,astro,AS_2nd_8th_axis conceptual alias node.
AS_4th_house_chiron,AS_4th_house_chiron,astro_concept,,astro,AS_4th_house_chiron conceptual alias node.
AS_7th_house_saturn,AS_7th_house_saturn,astro_concept,,astro,AS_7th_house_saturn conceptual alias node.
AS_chiron_4th,AS_chiron_4th,astro_concept,,astro,AS_chiron_4th conceptual alias node.
AS_jupiter_sun,AS_jupiter_sun,astro_concept,,astro,AS_jupiter_sun conceptual alias node.
AS_jupiter_uranus,AS_jupiter_uranus,astro_concept,,astro,AS_jupiter_uranus conceptual alias node.
AS_jupiter_venus,AS_jupiter_venus,astro_concept,,astro,AS_jupiter_venus conceptual alias node.
AS_mercury_gem,AS_mercury_gem,astro_concept,,astro,AS_mercury_gem conceptual alias node.
AS_mercury_uranus,AS_mercury_uranus,astro_concept,,astro,AS_mercury_uranus conceptual alias node.
AS_moon_neptune,AS_moon_neptune,astro_concept,,astro,AS_moon_neptune conceptual alias node.
AS_moon_pluto,AS_moon_pluto,astro_concept,,astro,AS_moon_pluto conceptual alias node.
AS_neptune_12th,AS_neptune_12th,astro_concept,,astro,AS_neptune_12th conceptual alias node.
AS_neptune_moon,AS_neptune_moon,astro_concept,,astro,AS_neptune_moon conceptual alias node.
AS_neptune_sun,AS_neptune_sun,astro_concept,,astro,AS_neptune_sun conceptual alias node.
AS_pluto_10th,AS_pluto_10th,astro_concept,,astro,AS_pluto_10th conceptual alias node.
AS_pluto_asc,AS_pluto_asc,astro_concept,,astro,AS_pluto_asc conceptual alias node.
AS_pluto_sun,AS_pluto_sun,astro_concept,,astro,AS_pluto_sun conceptual alias node.
AS_pluto_venus,AS_pluto_venus,astro_concept,,astro,AS_pluto_venus conceptual alias node.
AS_saturn_1st,AS_saturn_1st,astro_concept,,astro,AS_saturn_1st conceptual alias node.
AS_saturn_mercury,AS_saturn_mercury,astro_concept,,astro,AS_saturn_mercury conceptual alias node.
AS_saturn_moon,AS_saturn_moon,astro_concept,,astro,AS_saturn_moon conceptual alias node.
AS_saturn_strong,AS_saturn_strong,astro_concept,,astro,AS_saturn_strong conceptual alias node.
AS_saturn_sun,AS_saturn_sun,astro_concept,,astro,AS_saturn_sun conceptual alias node.
AS_uranus_strong,AS_uranus_strong,astro_concept,,astro,AS_uranus_strong conceptual alias node.
A_Jupiter,A_Jupiter,astro_alias,Jupiter,astro,A_Jupiter alias of Jupiter.
A_Mars,A_Mars,astro_alias,Mars,astro,A_Mars alias of Mars.
A_Mercury,A_Mercury,astro_alias,Mercury,astro,A_Mercury alias of Mercury.
A_Moon,A_Moon,astro_alias,Moon,astro,A_Moon alias of Moon.
A_Neptune,A_Neptune,astro_alias,Neptune,astro,A_Neptune alias of Neptune.
A_Pluto,A_Pluto,astro_alias,Pluto,astro,A_Pluto alias of Pluto.
A_Saturn,A_Saturn,astro_alias,Saturn,astro,A_Saturn alias of Saturn.
A_Sun,A_Sun,astro_alias,Sun,astro,A_Sun alias of Sun.
A_Uranus,A_Uranus,astro_alias,Uranus,astro,A_Uranus alias of Uranus.
A_Venus,A_Venus,astro_alias,Venus,astro,A_Venus alias of Venus.
Ascendant,Ascendant,cross_concept,,cross,Ascendant conceptual alias node.
BR_묘미,BR_묘미,saju_concept,,saju,BR_묘미 conceptual alias node.
BR_묘해,BR_묘해,saju_concept,,saju,BR_묘해 conceptual alias node.
BR_사_신,BR_사_신,saju_concept,,saju,BR_사_신 conceptual alias node.
BR_사신,BR_사신,saju_concept,,saju,BR_사신 conceptual alias node.
BR_사오미,BR_사오미,saju_concept,,saju,BR_사오미 conceptual alias node.
BR_사유,BR_사유,saju_concept,,saju,BR_사유 conceptual alias node.
BR_술_미,BR_술_미,saju_concept,,saju,BR_술_미 conceptual alias node.
BR_술미,BR_술미,saju_concept,,saju,BR_술미 conceptual alias node.
BR_술해,BR_술해,saju_concept,,saju,BR_술해 conceptual alias node.
BR_신유,BR_신유,saju_concept,,saju,BR_신유 conceptual alias node.
BR_신유술,BR_신유술,saju_concept,,saju,BR_신유술 conceptual alias node.
BR_오미,BR_오미,saju_concept,,saju,BR_오미 conceptual alias node.
BR_오술,BR_오술,saju_concept,,saju,BR_오술 conceptual alias node.
BR_오자,BR_오자,saju_concept,,saju,BR_오자 conceptual alias node.
BR_유축,BR_유축,saju_concept,,saju,BR_유축 conceptual alias node.
BR_인묘,BR_인묘,saju_concept,,saju,BR_인묘 conceptual alias node.
BR_인묘진,BR_인묘진,saju_concept,,saju,BR_인묘진 conceptual alias node.
BR_인신,BR_인신,saju_concept,,saju,BR_인신 conceptual alias node.
BR_인오,BR_인오,saju_concept,,saju,BR_인오 conceptual alias node.
BR_자술,BR_자술,saju_concept,,saju,BR_자술 conceptual alias node.
BR_자진,BR_자진,saju_concept,,saju,BR_자진 conceptual alias node.
BR_진사,BR_진사,saju_concept,,saju,BR_진사 conceptual alias node.
BR_축유,BR_축유,saju_concept,,saju,BR_축유 conceptual alias node.
BR_축해,BR_축해,saju_concept,,saju,BR_축해 conceptual alias node.
BR_해유,BR_해유,saju_concept,,saju,BR_해유 conceptual alias node.
BR_해자축,BR_해자축,saju_concept,,saju,BR_해자축 conceptual alias node.
B_H1,B_H1,astro_alias,H1,astro,B_H1 alias of H1.
B_H10,B_H10,astro_alias,H10,astro,B_H10 alias of H10.
B_H11,B_H11,astro_alias,H11,astro,B_H11 alias of H11.
B_H12,B_H12,astro_alias,H12,astro,B_H12 alias of H12.
B_H2,B_H2,astro_alias,H2,astro,B_H2 alias of H2.
B_H3,B_H3,astro_alias,H3,astro,B_H3 alias of H3.
B_H4,B_H4,astro_alias,H4,astro,B_H4 alias of H4.
B_H5,B_H5,astro_alias,H5,astro,B_H5 alias of H5.
B_H6,B_H6,astro_alias,H6,astro,B_H6 alias of H6.
B_H7,B_H7,astro_alias,H7,astro,B_H7 alias of H7.
B_H8,B_H8,astro_alias,H8,astro,B_H8 alias of H8.
B_H9,B_H9,astro_alias,H9,astro,B_H9 alias of H9.
B_Jupiter,B_Jupiter,astro_alias,Jupiter,astro,B_Jupiter alias of Jupiter.
B_Mars,B_Mars,astro_alias,Mars,astro,B_Mars alias of Mars.
B_Mercury,B_Mercury,astro_alias,Mercury,astro,B_Mercury alias of Mercury.
B_Moon,B_Moon,astro_alias,Moon,astro,B_Moon alias of Moon.
B_Neptune,B_Neptune,astro_alias,Neptune,astro,B_Neptune alias of Neptune.
B_Pluto,B_Pluto,astro_alias,Pluto,astro,B_Pluto alias of Pluto.
B_Saturn,B_Saturn,astro_alias,Saturn,astro,B_Saturn alias of Saturn.
B_Sun,B_Sun,astro_alias,Sun,astro,B_Sun alias of Sun.
B_Uranus,B_Uranus,astro_alias,Uranus,astro,B_Uranus alias of Uranus.
B_Venus,B_Venus,astro_alias,Venus,astro,B_Venus alias of Venus.
CHEONGAN_갑목,CHEONGAN_갑목,cross_concept,,cross,CHEONGAN_갑목 conceptual alias node.
CHEONGAN_경금,CHEONGAN_경금,cross_concept,,cross,CHEONGAN_경금 conceptual alias node.
CHEONGAN_계수,CHEONGAN_계수,cross_concept,,cross,CHEONGAN_계수 conceptual alias node.
CHEONGAN_기토,CHEONGAN_기토,cross_concept,,cross,CHEONGAN_기토 conceptual alias node.
CHEONGAN_무토,CHEONGAN_무토,cross_concept,,cross,CHEONGAN_무토 conceptual alias node.
CHEONGAN_병화,CHEONGAN_병화,cross_concept,,cross,CHEONGAN_병화 conceptual alias node.
CHEONGAN_신금,CHEONGAN_신금,cross_concept,,cross,CHEONGAN_신금 conceptual alias node.
CHEONGAN_을목,CHEONGAN_을목,cross_concept,,cross,CHEONGAN_을목 conceptual alias node.
CHEONGAN_임수,CHEONGAN_임수,cross_concept,,cross,CHEONGAN_임수 conceptual alias node.
CHEONGAN_정화,CHEONGAN_정화,cross_concept,,cross,CHEONGAN_정화 conceptual alias node.
COMP_Jupiter,COMP_Jupiter,cross_concept,,cross,COMP_Jupiter conceptual alias node.
COMP_Mars,COMP_Mars,cross_concept,,cross,COMP_Mars conceptual alias node.
COMP_Mercury,COMP_Mercury,cross_concept,,cross,COMP_Mercury conceptual alias node.
COMP_Moon,COMP_Moon,cross_concept,,cross,COMP_Moon conceptual alias node.
COMP_Neptune,COMP_Neptune,cross_concept,,cross,COMP_Neptune conceptual alias node.
COMP_Pluto,COMP_Pluto,cross_concept,,cross,COMP_Pluto conceptual alias node.
